dataset_name,column_name,data_type,missing_count,missing_percentage,unique_count,sample_values
detailed_listings,maximum_maximum_nights,float64,3,0.03,111,730.0 | 730.0 | 1125.0
detailed_listings,minimum_nights_avg_ntm,float64,0,0.0,183,2.0 | 2.0 | 5.0
detailed_listings,maximum_nights_avg_ntm,float64,0,0.0,378,730.0 | 730.0 | 1125.0
detailed_listings,calendar_updated,float64,10369,100.0,0,
detailed_listings,has_availability,str,136,1.31,2,t | t | t
detailed_listings,availability_30,int64,0,0.0,31,1 | 0 | 3
detailed_listings,availability_60,int64,0,0.0,61,1 | 2 | 3
detailed_listings,availability_90,int64,0,0.0,91,1 | 2 | 3
detailed_listings,availability_365,int64,0,0.0,366,11 | 2 | 3
detailed_listings,calendar_last_scraped,str,0,0.0,3,2026-06-16 | 2026-06-16 | 2026-06-24
detailed_listings,number_of_reviews,int64,0,0.0,601,799 | 906 | 186
detailed_listings,number_of_reviews_ltm,int64,0,0.0,145,88 | 82 | 5
detailed_listings,number_of_reviews_l30d,int64,0,0.0,24,5 | 6 | 0
detailed_listings,availability_eoy,int64,0,0.0,200,2 | 2 | 3
detailed_listings,number_of_reviews_ly,int64,0,0.0,143,95 | 85 | 1
detailed_listings,estimated_occupancy_l365d,int64,0,0.0,84,255 | 255 | 39
detailed_listings,estimated_revenue_l365d,float64,3992,38.5,3852,23970.0 | 12233.0 | 112269.0
detailed_listings,first_review,str,1023,9.87,3102,2010-08-22 | 2011-03-16 | 2010-08-16
detailed_listings,last_review,str,1023,9.87,1504,2026-06-01 | 2026-06-01 | 2026-04-30
detailed_listings,review_scores_rating,float64,1023,9.87,123,4.86 | 4.82 | 4.88
detailed_listings,review_scores_accuracy,float64,1023,9.87,116,4.89 | 4.88 | 4.81
detailed_listings,review_scores_cleanliness,float64,1024,9.88,140,4.84 | 4.83 | 4.88
detailed_listings,review_scores_checkin,float64,1023,9.87,103,4.94 | 4.93 | 4.89
detailed_listings,review_scores_communication,float64,1023,9.87,107,4.94 | 4.93 | 4.89
detailed_listings,review_scores_location,float64,1023,9.87,107,4.93 | 4.88 | 4.95
detailed_listings,review_scores_value,float64,1023,9.87,146,4.83 | 4.79 | 4.59
detailed_listings,license,str,223,2.15,9032,0363 607B EA74 0BD8 2F6F | 0363 607B EA74 0BD8 2F6F | 03635399E87602900F47
detailed_listings,instant_bookable,float64,10369,100.0,0,
