,price_numeric,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_rate,occupancy_proxy,weekend_availability_rate,weekday_availability_rate,accommodates,bathrooms,bedrooms,beds,amenities_count,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,detailed_review_count,unique_reviewer_count,detailed_reviews_last_365d,avg_reviews_per_year,estimated_revenue_proxy,neighbourhood_median_price,neighbourhood_avg_occupancy_proxy
accommodates,0.38541177196269455,-0.01523861801253323,-0.06807568413452614,-0.05902923072176382,0.005173851917254074,0.0030908392077692165,0.0027624758113410854,-0.002762475811341079,0.0014998622936959205,0.0032560701154554306,1.0,0.3948828166834228,0.736835310480029,0.7900043677715443,0.19003471189250595,-0.045675541912735054,-0.0977676285945138,-0.08458696391200114,-0.041668908361315024,-0.06807568413452618,-0.067923850296245,-0.04194144086139855,-0.06073845614960049,0.3620888299366946,-0.07890206314410171,0.014613801826588398
bathrooms,0.3580537831073498,0.034793701590953206,-0.04121890265064073,-0.08282342330361438,-0.057331199488265636,-0.03729562371810511,-0.036044450558670595,0.03604445055867017,-0.03327650197779153,-0.03707676573999828,0.3948828166834228,1.0,0.5644543540795097,0.4282001974489889,0.21956801011564114,0.053352430421606,0.027366624365261293,0.023143326290653823,0.049505880152757115,-0.041218902650640724,-0.041344057079486685,-0.06957659681153408,-0.08558083909001374,0.2999964609810921,-0.009957687499968415,0.0033932806748616044
bedrooms,0.38114581464213076,-0.004498527680052428,-0.07393807442631174,-0.09944382453243726,-0.08224951411970195,-0.059384391331766415,-0.05962846356748736,0.05962846356748741,-0.05900244172295664,-0.059815605092156374,0.736835310480029,0.5644543540795097,1.0,0.7257881803760434,0.2155467511312804,0.04014449109466981,-0.030821804756756988,-0.031210512650397194,0.03878240693490942,-0.0739380744263118,-0.07404429087412397,-0.08820256109183029,-0.10098546542182223,0.4146350529746908,-0.10338574244170265,0.04244155046378525
beds,0.3454707420190499,0.005827324626213337,-0.041370244995764915,-0.051777054850464084,0.018986253689581085,-0.03579002825555913,-0.03627329202135402,0.03627329202135376,-0.0387980431741559,-0.0352207807587285,0.7900043677715443,0.4282001974489889,0.7257881803760434,1.0,0.1779021310326822,-0.04137138404502942,-0.0767986403867115,-0.08415195956384493,-0.026520316753981005,-0.0413702449957649,-0.041241619531050655,-0.037828113654153485,-0.0550332203351272,0.28280031037995523,-0.0752306299946421,0.02194686782309716
amenities_count,0.15506157456359093,0.0035225130119861665,0.029566192719029303,-0.040728810237860805,-0.10390093836925214,-0.07144266814759907,-0.07153794998829095,0.07153794998829079,-0.07025787455685303,-0.07196417851008236,0.19003471189250595,0.21956801011564114,0.2155467511312804,0.1779021310326822,1.0,0.1546432037167105,0.12164511955600038,0.04492945349133388,0.11515013901756298,0.029566192719029303,0.029639817663390886,0.019621109191568786,-0.044235351466742096,0.26173780730358337,-0.005036141658745976,0.041214531071110096
review_scores_rating,0.06104304071039321,-0.00738941137457148,-0.05287312558907612,-0.07859828858500274,-0.22526996854140305,-0.15137022839155123,-0.1512461365395176,0.15124613653951766,-0.14812648861137195,-0.15230279338573752,-0.045675541912735054,0.053352430421606,0.04014449109466981,-0.04137138404502942,0.1546432037167105,1.0,0.7212971571892474,0.4539438099853134,0.7241454457761295,-0.05287312558907609,-0.053126578002991684,-0.06934078921550102,-0.0740016317741243,0.18864744036649544,0.062160572951485096,0.08855335720595095
review_scores_cleanliness,0.026830618294500154,-0.0010611313929184969,0.010831353567801362,-0.006078073291430882,-0.12235114380595062,-0.05649053808169914,-0.05634409743849324,0.05634409743849321,-0.055210170593289976,-0.05672673684832491,-0.0977676285945138,0.027366624365261293,-0.030821804756756988,-0.0767986403867115,0.12164511955600038,0.7212971571892474,1.0,0.3625748832447434,0.6078193446979768,0.010831353567801391,0.010776336764559562,-0.0014771129098855745,-0.004126139719503191,0.10513445232364704,0.04989877972578385,0.02512571091856284
review_scores_location,0.11594774261879928,-0.007146901343284231,-0.027763445141997432,-0.040257507826044904,-0.12116741762571304,-0.028755481408941793,-0.02880245420155866,0.02880245420155874,-0.027861436753937867,-0.029138881836818474,-0.08458696391200114,0.023143326290653823,-0.031210512650397194,-0.08415195956384493,0.04492945349133388,0.4539438099853134,0.3625748832447434,1.0,0.4671541541667747,-0.027763445141997425,-0.027867974443183088,-0.0365791971658722,-0.037159096249653606,0.15155052181022238,0.300051156585419,-0.15207993449037369
review_scores_value,0.012360736397624925,-0.00828482306050879,-0.00946273881489337,-0.038550349359177206,-0.18876991818817104,-0.13657363189128874,-0.1364743683505869,0.13647436835058682,-0.13475144086806728,-0.13699954520529406,-0.041668908361315024,0.049505880152757115,0.03878240693490942,-0.026520316753981005,0.11515013901756298,0.7241454457761295,0.6078193446979768,0.4671541541667747,1.0,-0.009462738814893354,-0.009642214458099185,-0.0297504093554131,-0.033778963055442625,0.14439860375867078,0.044697811552041555,0.056735385227074366
detailed_review_count,-0.14154629453776374,-0.03752862770912962,1.0,0.7611180738743172,0.06836155712463497,0.165829661812303,0.17410262189716513,-0.17410262189716566,0.1651940954153314,0.17742723517044243,-0.06807568413452618,-0.041218902650640724,-0.0739380744263118,-0.0413702449957649,0.029566192719029303,-0.05287312558907609,0.010831353567801391,-0.027763445141997425,-0.009462738814893354,1.0,0.999977158846348,0.7390957175166911,0.7392099954889121,-0.17973840747946898,-0.05534269744787396,-0.13757299018101787
unique_reviewer_count,-0.14180928610045704,-0.03757735956760843,0.999977158846348,0.760665620999155,0.06835947218140778,0.1660455676672917,0.17428914582448385,-0.17428914582448435,0.16534481373941737,0.17762765287973634,-0.067923850296245,-0.041344057079486685,-0.07404429087412397,-0.041241619531050655,0.029639817663390886,-0.053126578002991684,0.010776336764559562,-0.027867974443183088,-0.009642214458099185,0.999977158846348,1.0,0.7391419134980076,0.7387587360332768,-0.18002955701019707,-0.05538625005729386,-0.1377636165651575
detailed_reviews_last_365d,-0.14339158456333873,-0.04486204860178598,0.7390957175166911,0.9068585772351618,0.13083901852661323,0.2278951176416706,0.2336174651719653,-0.23361746517196555,0.2254242961174466,0.23659977624919837,-0.04194144086139855,-0.06957659681153408,-0.08820256109183029,-0.037828113654153485,0.019621109191568786,-0.06934078921550102,-0.0014771129098855745,-0.0365791971658722,-0.0297504093554131,0.7390957175166911,0.7391419134980076,1.0,0.8886390364013744,-0.19440363854479917,-0.05412656707201077,-0.12624480147199718
avg_reviews_per_year,-0.16263073509807646,-0.042488344773043356,0.7392099954889121,0.9907499242659396,0.14637618480423384,0.26198142528164176,0.26820502280927067,-0.2682050228092708,0.2608229751864055,0.2708152655106405,-0.06073845614960049,-0.08558083909001374,-0.10098546542182223,-0.0550332203351272,-0.044235351466742096,-0.0740016317741243,-0.004126139719503191,-0.037159096249653606,-0.033778963055442625,0.7392099954889121,0.7387587360332768,0.8886390364013744,1.0,-0.2222066644438374,-0.07173492758265192,-0.13501520095413605
estimated_revenue_proxy,0.4040770717434386,-0.05351174088126735,-0.17973840747946898,-0.22405117302436295,-0.1963659899635655,-0.6569132767670173,-0.6575895952343825,0.6575895952343829,-0.6507292354700792,-0.6592504196027289,0.3620888299366946,0.2999964609810921,0.4146350529746908,0.28280031037995523,0.26173780730358337,0.18864744036649544,0.10513445232364704,0.15155052181022238,0.14439860375867078,-0.17973840747946898,-0.18002955701019707,-0.19440363854479917,-0.2222066644438374,1.0,0.12754570156148284,0.039577825345512144
neighbourhood_median_price,0.12257608145645393,-0.0002316069387815449,-0.05534269744787396,-0.07421595706484908,-0.050210954105087205,-0.016955458141691932,-0.01651179361551024,0.01651179361551032,-0.01440352650263335,-0.017322752688520866,-0.07890206314410171,-0.009957687499968415,-0.10338574244170265,-0.0752306299946421,-0.005036141658745976,0.062160572951485096,0.04989877972578385,0.300051156585419,0.044697811552041555,-0.05534269744787396,-0.05538625005729386,-0.05412656707201077,-0.07173492758265192,0.12754570156148284,1.0,0.08583075343826964
neighbourhood_avg_occupancy_proxy,-0.04625788443883717,0.024201007339522986,-0.13757299018101787,-0.1375093210232367,-0.14547750786709338,-0.17144989373303035,-0.17132481661274218,0.17132481661274218,-0.1669350912561585,-0.17287420882332935,0.014613801826588398,0.0033932806748616044,0.04244155046378525,0.02194686782309716,0.041214531071110096,0.08855335720595095,0.02512571091856284,-0.15207993449037369,0.056735385227074366,-0.13757299018101787,-0.1377636165651575,-0.12624480147199718,-0.13501520095413605,0.039577825345512144,0.08583075343826964,1.0
